nodes,taskspernode,threadspertask,cpufreq,slurm_job_id,cnt,tpe,tlb,tce,tse,tte,tmpe,tmlb,tmce,tmse,tmte,tope,tolb,toce,tose,tote,epe,elb,ece,ese,ete,empe,emlb,emce,emse,emte,eope,eolb,eoce,eose,eote,total_time
1,48,2,1000000,60736169,1,0.076,0.562,0.135,0.851,0.158,0.508,0.713,0.712,0.875,0.813,0.149,0.788,0.189,0.972,0.195,0.365,0.511,0.716,1.053,0.679,0.571,0.623,0.916,1.036,0.885,0.64,0.819,0.781,1.017,0.768,477.713
1,48,2,1500000,60736170,1,0.075,0.547,0.137,0.834,0.164,0.492,0.71,0.693,0.849,0.817,0.152,0.771,0.197,0.983,0.201,0.295,0.519,0.569,0.984,0.578,0.563,0.646,0.871,0.977,0.891,0.524,0.803,0.653,1.006,0.649,438.85
1,48,2,2000000,60736171,1,0.076,0.536,0.142,0.865,0.164,0.485,0.695,0.698,0.871,0.802,0.156,0.771,0.203,0.993,0.204,0.391,0.495,0.789,1.061,0.744,0.545,0.618,0.883,1.041,0.848,0.717,0.802,0.894,1.019,0.878,417.933
1,48,2,2500000,60736172,1,0.081,0.593,0.137,0.755,0.182,0.513,0.754,0.68,0.775,0.877,0.159,0.786,0.202,0.974,0.207,0.327,0.543,0.602,0.96,0.627,0.534,0.68,0.785,0.937,0.838,0.612,0.798,0.767,1.025,0.748,193.415
1,48,2,3000000,60736174,1,0.075,0.602,0.124,0.711,0.175,0.524,0.781,0.671,0.739,0.908,0.143,0.771,0.185,0.962,0.193,0.336,0.573,0.586,2.159,0.271,0.524,0.732,0.716,2.121,0.338,0.641,0.783,0.818,1.018,0.804,176.114
1,48,2,3500000,60736175,1,0.082,0.531,0.154,0.76,0.202,0.507,0.713,0.711,0.775,0.918,0.161,0.745,0.216,0.981,0.22,0.33,0.509,0.648,0.895,0.724,0.549,0.675,0.813,0.887,0.916,0.602,0.755,0.797,1.009,0.79,171.206
1,48,2,3800000,60736176,1,0.081,0.533,0.152,0.785,0.194,0.51,0.704,0.724,0.792,0.914,0.159,0.757,0.21,0.991,0.212,0.337,0.522,0.647,0.916,0.707,0.537,0.682,0.788,0.907,0.868,0.628,0.765,0.821,1.009,0.814,171.796
1,96,1,1000000,60736162,1,0.019,0.379,0.051,0.883,0.058,0.272,0.379,0.719,0.883,0.814,0.072,1.0,0.072,1.0,0.072,0.137,0.373,0.368,0.889,0.414,0.228,0.373,0.611,0.889,0.688,0.603,1.0,0.603,1.0,0.603,855.428
1,96,1,1500000,60736163,1,0.017,0.344,0.048,0.926,0.052,0.254,0.344,0.739,0.926,0.798,0.066,1.0,0.066,1.0,0.066,0.172,0.335,0.513,0.929,0.552,0.206,0.335,0.615,0.929,0.662,0.834,1.0,0.834,1.0,0.834,770.607
1,96,1,2000000,60736164,1,0.016,0.34,0.048,0.938,0.051,0.252,0.34,0.741,0.938,0.789,0.065,1.0,0.065,1.0,0.065,0.094,0.335,0.28,0.931,0.301,0.208,0.335,0.62,0.931,0.666,0.452,1.0,0.452,1.0,0.452,693.059
1,96,1,2500000,60736165,1,0.02,0.384,0.052,0.881,0.059,0.28,0.384,0.731,0.881,0.829,0.071,1.0,0.071,1.0,0.071,0.165,0.375,0.441,0.925,0.477,0.235,0.375,0.628,0.925,0.679,0.702,1.0,0.702,1.0,0.702,339.834
1,96,1,3000000,60736166,1,0.02,0.356,0.057,0.986,0.058,0.297,0.356,0.834,0.986,0.846,0.069,1.0,0.069,1.0,0.069,0.096,0.347,0.278,0.979,0.284,0.248,0.347,0.716,0.979,0.731,0.388,1.0,0.388,1.0,0.388,302.47
1,96,1,3500000,60736167,1,0.021,0.359,0.057,0.991,0.058,0.303,0.359,0.842,0.991,0.85,0.068,1.0,0.068,1.0,0.068,0.166,0.343,0.485,0.989,0.49,0.276,0.343,0.804,0.989,0.813,0.603,1.0,0.603,1.0,0.603,315.005
1,96,1,3800000,60736168,1,0.021,0.352,0.058,0.989,0.059,0.296,0.352,0.842,0.989,0.852,0.069,1.0,0.069,1.0,0.069,0.061,0.343,0.179,0.989,0.181,0.253,0.343,0.739,0.989,0.747,0.243,1.0,0.243,1.0,0.243,305.062
