nodes,taskspernode,threadspertask,s,cpufreq,slurm_job_id,cnt,tpe,tlb,tce,tse,tte,tmpe,tmlb,tmce,tmse,tmte,tope,tolb,toce,tose,tote,epe,elb,ece,ese,ete,empe,emlb,emce,emse,emte,eope,eolb,eoce,eose,eote,total_time
1,27,3,10,3500000,60734128,1.0,0.348,0.739,0.472,0.636,0.742,0.851,0.976,0.871,1.0,0.872,0.41,0.757,0.541,0.636,0.851,0.131,0.95,0.138,11.107,0.012,0.336,0.663,0.507,15.254,0.033,0.39,1.433,0.272,0.728,0.373,300.809
1,27,3,10,3800000,60734129,1.0,0.34,0.724,0.47,0.646,0.728,0.817,0.96,0.851,0.999,0.852,0.416,0.754,0.552,0.646,0.855,0.128,0.904,0.141,104.816,0.001,0.39,0.637,0.613,177.395,0.003,0.327,1.419,0.23,0.591,0.39,299.204
1,27,3,20,1000000,60734130,1.0,0.317,0.732,0.432,0.602,0.718,0.81,0.951,0.851,1.0,0.851,0.391,0.769,0.508,0.602,0.844,0.144,0.83,0.174,42.556,0.004,0.333,0.637,0.522,53.074,0.01,0.433,1.303,0.332,0.802,0.414,1076.632
1,27,3,20,1500000,60734131,1.0,0.316,0.735,0.431,0.584,0.737,0.81,0.955,0.848,0.978,0.867,0.391,0.769,0.508,0.597,0.851,0.137,0.813,0.168,1.574,0.107,0.315,0.617,0.511,1.893,0.27,0.433,1.319,0.328,0.831,0.395,867.708
1,27,3,20,2000000,60734132,1.0,0.343,0.723,0.475,0.655,0.724,0.821,0.949,0.864,1.0,0.865,0.418,0.762,0.549,0.655,0.838,0.148,0.881,0.168,19.971,0.008,0.439,0.661,0.664,30.999,0.021,0.338,1.333,0.253,0.644,0.393,711.434
1,27,3,20,2500000,60734133,1.0,0.354,0.723,0.49,0.672,0.729,0.834,0.955,0.873,1.0,0.873,0.425,0.758,0.561,0.672,0.835,0.15,0.897,0.168,48.715,0.003,0.366,0.665,0.55,60.817,0.009,0.411,1.349,0.305,0.801,0.381,637.904
1,27,3,20,3000000,60734134,1.0,0.363,0.732,0.495,0.669,0.741,0.851,0.96,0.887,0.998,0.888,0.426,0.763,0.559,0.67,0.834,0.154,0.935,0.164,56.85,0.003,0.397,0.684,0.58,73.261,0.008,0.387,1.366,0.283,0.776,0.365,595.781
1,27,3,20,3500000,60734135,1.0,0.353,0.743,0.475,0.641,0.741,0.847,0.961,0.882,1.0,0.882,0.416,0.774,0.538,0.641,0.84,0.149,0.897,0.166,185.963,0.001,0.343,0.659,0.52,225.734,0.002,0.434,1.361,0.319,0.824,0.387,568.966
1,27,3,20,3800000,60734136,1.0,0.356,0.747,0.476,0.646,0.736,0.85,0.969,0.877,1.0,0.878,0.418,0.771,0.542,0.647,0.838,0.15,0.898,0.167,48.012,0.003,0.357,0.658,0.542,58.457,0.009,0.42,1.364,0.308,0.821,0.375,569.348
1,64,1,1,1000000,60734137,1.0,0.165,0.816,0.202,0.957,0.211,0.176,0.816,0.215,0.957,0.225,0.939,1.0,0.939,1.0,0.939,0.091,0.682,0.133,1.319,0.101,0.19,0.682,0.279,1.319,0.211,0.476,1.0,0.476,1.0,0.476,311.396
1,64,1,1,1500000,60734138,1.0,0.15,0.842,0.179,0.794,0.225,0.156,0.842,0.185,0.794,0.233,0.965,1.0,0.965,1.0,0.965,0.086,0.494,0.174,2.491,0.07,0.097,0.494,0.197,2.491,0.079,0.885,1.0,0.885,1.0,0.885,252.691
1,64,1,1,2000000,60734139,1.0,0.275,0.961,0.286,0.989,0.289,0.313,0.961,0.326,0.989,0.329,0.878,1.0,0.878,1.0,0.878,0.151,0.894,0.169,1.066,0.158,0.274,0.894,0.306,1.066,0.287,0.551,1.0,0.551,1.0,0.551,230.096
1,64,1,1,2500000,60734140,1.0,0.274,0.963,0.284,0.987,0.288,0.312,0.963,0.324,0.987,0.328,0.878,1.0,0.878,1.0,0.878,0.159,0.908,0.175,1.006,0.174,0.238,0.908,0.262,1.006,0.261,0.668,1.0,0.668,1.0,0.668,201.52
1,64,1,1,3000000,60734141,1.0,0.234,0.971,0.241,0.992,0.243,0.262,0.971,0.269,0.992,0.272,0.895,1.0,0.895,1.0,0.895,0.127,0.911,0.139,1.065,0.13,0.439,0.911,0.482,1.065,0.452,0.288,1.0,0.288,1.0,0.288,198.346
1,64,1,1,3500000,60734142,1.0,0.229,0.968,0.237,0.984,0.241,0.255,0.968,0.263,0.984,0.268,0.899,1.0,0.899,1.0,0.899,0.124,0.629,0.197,1.528,0.129,0.176,0.629,0.28,1.528,0.183,0.704,1.0,0.704,1.0,0.704,199.338
1,64,1,1,3800000,60734143,1.0,0.301,0.972,0.309,0.992,0.312,0.348,0.972,0.358,0.992,0.361,0.865,1.0,0.865,1.0,0.865,0.168,0.911,0.184,1.041,0.177,0.232,0.911,0.254,1.041,0.244,0.723,1.0,0.723,1.0,0.723,192.213
1,64,1,5,1000000,60734144,1.0,0.433,0.957,0.453,0.852,0.532,0.533,0.957,0.558,0.852,0.655,0.812,1.0,0.812,1.0,0.812,0.236,0.928,0.254,0.989,0.257,0.415,0.928,0.447,0.989,0.452,0.568,1.0,0.568,1.0,0.568,463.293
1,64,1,5,1500000,60734145,1.0,0.383,0.764,0.501,0.839,0.598,0.422,0.764,0.552,0.839,0.659,0.908,1.0,0.908,1.0,0.908,0.216,0.591,0.366,2.225,0.164,0.27,0.591,0.457,2.225,0.205,0.801,1.0,0.801,1.0,0.801,348.16
